id;code;name;segment;id_cities
187;MH-17785;Maya Herman;Corporate;114
188;JP-15520;Jeremy Pistek;Consumer;9
189;JE-15475;Jeremy Ellison;Consumer;22
190;JG-15805;John Grady;Corporate;21
191;XP-21865;Xylona Preis;Consumer;71
192;EM-14065;Erin Mull;Consumer;21
193;MT-18070;Michelle Tran;Home Office;2
194;SA-20830;Sue Ann Reed;Consumer;23
195;CW-11905;Carl Weiss;Home Office;115
196;AJ-10960;Astrea Jones;Consumer;31
197;SS-20590;Sonia Sunley;Consumer;5
198;RO-19780;Rose O'Brian;Consumer;27
199;MD-17350;Maribeth Dona;Consumer;116
200;MY-17380;Maribeth Yedwab;Corporate;118
201;CM-12385;Christopher Martinez;Consumer;119
202;LS-17245;Lynn Smith;Consumer;120
203;BN-11515;Bradley Nguyen;Consumer;2
204;DB-13210;Dean Braden;Consumer;13
205;MC-17605;Matt Connell;Corporate;67
206;BD-11605;Brian Dahlen;Consumer;105
207;PH-18790;Patricia Hirasaki;Home Office;122
208;MG-18145;Mike Gockenbach;Consumer;11
209;KB-16240;Karen Bern;Corporate;2
210;JC-15340;Jasper Cacioppo;Consumer;2
211;RL-19615;Rob Lucas;Consumer;123
212;AA-10375;Allen Armold;Consumer;124
213;EP-13915;Emily Phan;Consumer;23
214;DK-12985;Darren Koutras;Consumer;1
215;BD-11500;Bradley Drucker;Consumer;125
216;LM-17065;Liz MacKendrick;Consumer;25
217;AS-10135;Adrian Shami;Home Office;21
218;BD-11320;Bill Donatelli;Consumer;9
219;GT-14710;Greg Tran;Consumer;13
220;AJ-10945;Ashley Jarboe;Consumer;41
221;OT-18730;Olvera Toch;Consumer;2
222;LP-17080;Liz Pelletier;Consumer;9
223;CA-12775;Cynthia Arntzen;Consumer;68
224;JF-15490;Jeremy Farry;Consumer;5
225;FP-14320;Frank Preis;Consumer;2
226;EB-13840;Ellis Ballard;Corporate;5
227;JF-15415;Jennifer Ferguson;Consumer;21
228;SF-20200;Sarah Foster;Consumer;127
229;TG-21640;Trudy Glocke;Consumer;86
230;CS-11950;Carlos Soltero;Consumer;23
231;CC-12145;Charles Crestani;Consumer;2
232;DV-13465;Dianna Vittorini;Consumer;61
233;BD-11725;Bruce Degenhardt;Consumer;103
234;ZC-21910;Zuschuss Carroll;Consumer;128
235;MS-17830;Melanie Seite;Consumer;129
236;LR-16915;Lena Radford;Consumer;71
237;TP-21130;Theone Pippenger;Consumer;11
238;CK-12205;Chloris Kastensmidt;Consumer;11
239;AS-10240;Alan Shonely;Consumer;68
240;AR-10510;Andrew Roberts;Consumer;11
241;NB-18655;Nona Balk;Corporate;62
242;GD-14590;Giulietta Dortch;Corporate;11
243;CK-12595;Clytie Kelty;Consumer;130
244;NG-18355;Nat Gilpin;Corporate;21
245;CA-12265;Christina Anderson;Consumer;23
246;SF-20965;Sylvia Foulston;Corporate;131
247;MO-17800;Meg O'Connel;Home Office;21
248;AT-10735;Annie Thurman;Consumer;5
249;FM-14380;Fred McMath;Consumer;35
250;DJ-13420;Denny Joy;Corporate;132
251;ME-17725;Max Engle;Consumer;35
252;JD-16150;Justin Deggeller;Corporate;32
253;JL-15835;John Lee;Consumer;134
254;SC-20305;Sean Christensen;Consumer;135
255;CC-12430;Chuck Clark;Home Office;39
256;AR-10825;Anthony Rawles;Corporate;138
257;SR-20740;Steven Roelle;Home Office;21
258;CR-12730;Craig Reiter;Consumer;39
259;EH-14125;Eugene Hildebrand;Home Office;35
260;SP-20545;Sibella Parks;Corporate;21
261;TH-21235;Tiffany House;Corporate;62
262;RP-19390;Resi Pîlking;Consumer;139
263;RB-19570;Rob Beeghly;Consumer;39
264;CD-11980;Carol Darley;Consumer;140
265;DJ-13630;Doug Jacobs;Consumer;21
266;GT-14635;Grant Thornton;Corporate;141
267;MC-17845;Michael Chen;Consumer;26
268;RA-19285;Ralph Arnett;Consumer;21
269;NP-18325;Naresj Patel;Consumer;142
270;AB-10165;Alan Barnes;Consumer;2
271;JO-15550;Jesus Ocampo;Home Office;143
272;JK-15370;Jay Kimmel;Consumer;86
273;BN-11470;Brad Norvell;Corporate;144
274;DP-13165;David Philippe;Consumer;21
275;TH-21550;Tracy Hopkins;Home Office;21
276;AP-10915;Arthur Prichep;Consumer;145
277;RS-19765;Roland Schwarz;Corporate;146
278;SV-20365;Seth Vernon;Consumer;19
279;CK-12325;Christine Kargatis;Home Office;12
280;RD-19810;Ross DeVincentis;Home Office;2
281;MR-17545;Mathew Reese;Home Office;11
282;SC-20695;Steve Chapman;Corporate;147
283;JF-15355;Jay Fein;Consumer;90
284;EG-13900;Emily Grady;Consumer;148
285;DS-13030;Darrin Sayre;Home Office;5
286;PO-19195;Phillina Ober;Home Office;15
287;SS-20875;Sung Shariari;Consumer;62
288;PB-19105;Peter BÅhler;Consumer;149
289;RF-19735;Roland Fjeld;Consumer;150
290;YC-21895;Yoseph Carroll;Corporate;9
291;DC-13285;Debra Catini;Consumer;151
292;CP-12340;Christine Phan;Corporate;21
293;BF-11020;Barry Franzîsisch;Corporate;125
294;LH-17020;Lisa Hazard;Consumer;39
295;CS-12250;Chris Selesnick;Corporate;152
296;AJ-10795;Anthony Johnson;Corporate;85
297;BV-11245;Benjamin Venier;Corporate;97
298;DL-12865;Dan Lawera;Consumer;75
299;BM-11785;Bryan Mills;Consumer;39
300;LT-17110;Liz Thompson;Consumer;153
301;JK-15730;Joe Kamberova;Consumer;154
302;ES-14020;Erica Smith;Consumer;9
303;RH-19495;Rick Hansen;Consumer;31
304;CD-11920;Carlos Daly;Consumer;155
305;HW-14935;Helen Wasserman;Corporate;71
306;MC-18130;Mike Caudle;Corporate;54
307;GM-14440;Gary McGarr;Consumer;9
308;PJ-19015;Pauline Johnson;Consumer;158
309;BW-11110;Bart Watters;Corporate;159
310;TR-21325;Toby Ritter;Consumer;79
311;PG-18820;Patrick Gardner;Consumer;9
312;JL-15175;James Lanier;Home Office;30
313;BM-11650;Brian Moss;Corporate;21
314;EM-14095;Eudokia Martin;Corporate;2
315;AF-10885;Art Foster;Consumer;104
316;GA-14725;Guy Armstrong;Consumer;161
317;CK-12760;Cyma Kinney;Corporate;162
318;DP-13105;Dave Poirier;Corporate;163
319;BK-11260;Berenike Kampe;Consumer;21
320;SJ-20125;Sanjit Jacobs;Home Office;164
321;CM-12445;Chuck Magee;Consumer;9
322;AJ-10780;Anthony Jacobs;Corporate;25
323;LS-16945;Linda Southworth;Corporate;11
324;GP-14740;Guy Phonely;Corporate;153
325;PK-18910;Paul Knutson;Home Office;11
326;SM-20005;Sally Matthias;Consumer;21
327;AG-10765;Anthony Garverick;Home Office;11
328;PM-19135;Peter McVee;Home Office;67
329;LL-16840;Lauren Leatherbury;Consumer;31
330;JS-15595;Jill Stevenson;Corporate;2
331;EL-13735;Ed Ludwig;Home Office;30
332;PC-18745;Pamela Coakley;Corporate;9
333;HL-15040;Hunter Lopez;Consumer;13
334;MS-17365;Maribeth Schnelling;Consumer;67
335;GB-14530;George Bell;Corporate;110
336;JR-16210;Justin Ritter;Corporate;25
337;BE-11335;Bill Eplett;Home Office;26
338;SC-20050;Sample Company A;Home Office;166
339;RW-19630;Rob Williams;Corporate;62
340;SE-20110;Sanjit Engle;Consumer;21
341;AH-10075;Adam Hart;Corporate;21
342;JM-15535;Jessica Myrick;Consumer;11
343;JJ-15760;Joel Jenkins;Home Office;25
344;RK-19300;Ralph Kennedy;Consumer;11
345;CG-12040;Catherine Glotzbach;Home Office;11
346;RP-19270;Rachel Payne;Corporate;170
347;KC-16255;Karen Carlisle;Corporate;9
348;KH-16360;Katherine Hughes;Consumer;11
349;GH-14665;Greg Hansen;Consumer;172
350;SW-20275;Scott Williamson;Consumer;26
351;JA-15970;Joseph Airdo;Consumer;43
352;DL-12925;Daniel Lacy;Consumer;148
353;LW-16990;Lindsay Williams;Corporate;9
354;TB-21190;Thomas Brumley;Home Office;116
355;BS-11800;Bryan Spruell;Home Office;21
356;RW-19690;Robert Waldorf;Consumer;41
357;TZ-21580;Tracy Zic;Consumer;104
358;AS-10630;Ann Steele;Home Office;46
359;TS-21340;Toby Swindell;Consumer;13
360;SL-20155;Sara Luxemburg;Home Office;109
361;MW-18235;Mitch Willingham;Corporate;174
362;RD-19585;Rob Dowd;Consumer;1
363;RA-19945;Ryan Akin;Consumer;175
364;MT-17815;Meg Tillman;Consumer;49
365;VG-21790;Vivek Gonzalez;Consumer;71
366;JS-15880;John Stevenson;Consumer;5
367;KM-16225;Kalyca Meade;Corporate;21
368;HR-14770;Hallie Redmond;Home Office;2
369;DE-13255;Deanra Eno;Home Office;25
370;AG-10390;Allen Goldenen;Consumer;75
371;JJ-15445;Jennifer Jackson;Consumer;2
372;JH-15430;Jennifer Halladay;Consumer;141
373;RD-19660;Robert Dilbeck;Home Office;179
374;MO-17500;Mary O'Rourke;Consumer;21
375;NS-18640;Noel Staavos;Corporate;23
376;DG-13300;Deirdre Greer;Corporate;11
377;NF-18595;Nicole Fjeld;Home Office;21
378;MG-17650;Matthew Grinstein;Home Office;11
379;TS-21160;Theresa Swint;Corporate;168
380;BD-11620;Brian DeCherney;Consumer;9
381;CM-12160;Charles McCrossin;Consumer;181
382;SN-20560;Skye Norling;Home Office;2
383;EH-14005;Erica Hernandez;Home Office;61
384;FO-14305;Frank Olsen;Consumer;21
385;MS-17710;Maurice Satty;Consumer;124
386;CC-12100;Chad Cunningham;Home Office;39
387;DW-13540;Don Weiss;Consumer;5
388;BT-11395;Bill Tyler;Corporate;67
389;CY-12745;Craig Yedwab;Corporate;183
390;BT-11485;Brad Thomas;Home Office;184
391;PS-19045;Penelope Sewall;Home Office;36
392;PV-18985;Paul Van Hugh;Home Office;9
393;NM-18520;Neoma Murray;Consumer;170
394;DL-13495;Dionis Lloyd;Corporate;9
395;CS-12355;Christine Sundaresam;Consumer;186
396;FH-14275;Frank Hawley;Corporate;190
397;NC-18340;Nat Carroll;Consumer;191
398;AA-10315;Alex Avila;Consumer;32
399;LT-16765;Larry Tron;Consumer;195
400;AP-10720;Anne Pryor;Home Office;21
401;PM-18940;Paul MacIntyre;Consumer;26
402;AT-10435;Alyssa Tate;Home Office;2
403;CA-12055;Cathy Armstrong;Home Office;13
404;HR-14830;Harold Ryan;Corporate;5
405;BT-11530;Bradley Talbott;Home Office;2
406;LH-16750;Larry Hughes;Consumer;36
407;SW-20755;Steven Ward;Corporate;21
408;SP-20620;Stefania Perrino;Corporate;11
409;BF-11170;Ben Ferrer;Home Office;2
410;KT-16480;Kean Thornton;Consumer;199
411;BG-11695;Brooke Gillingham;Corporate;75
412;GM-14680;Greg Matthias;Consumer;5
413;EJ-14155;Eva Jacobs;Consumer;201
414;NP-18700;Nora Preis;Consumer;202
415;MH-18115;Mick Hernandez;Home Office;143
416;JR-15700;Jocasta Rupert;Consumer;109
417;SM-20950;Suzanne McNair;Corporate;203
418;CC-12220;Chris Cortes;Consumer;190
419;PF-19225;Phillip Flathmann;Consumer;9
420;DC-12850;Dan Campbell;Consumer;160
421;BD-11770;Bryan Davis;Consumer;13
422;GM-14500;Gene McClure;Consumer;206
423;TB-21355;Todd Boyes;Corporate;21
424;JH-16180;Justin Hirsh;Consumer;207
425;EB-13975;Erica Bern;Corporate;55
426;QJ-19255;Quincy Jones;Corporate;34
427;TC-21535;Tracy Collins;Home Office;82
428;CS-12460;Chuck Sachs;Consumer;39
429;HG-14965;Henry Goldwyn;Corporate;2
430;LW-16825;Laurel Workman;Corporate;208
431;MC-17575;Matt Collins;Consumer;75
432;LP-17095;Liz Preis;Consumer;209
433;EB-14170;Evan Bailliet;Consumer;41
434;GZ-14545;George Zrebassa;Corporate;105
435;CP-12085;Cathy Prescott;Corporate;166
436;FG-14260;Frank Gastineau;Home Office;9
437;LD-17005;Lisa DeCherney;Consumer;9
438;AB-10255;Alejandro Ballentine;Home Office;161
439;MN-17935;Michael Nguyen;Consumer;62
440;JR-15670;Jim Radford;Consumer;210
441;JF-15190;Jamie Frazer;Consumer;2
442;CM-12115;Chad McGuire;Consumer;21
443;AS-10045;Aaron Smayling;Corporate;109
444;BP-11290;Beth Paige;Consumer;149
445;ND-18370;Natalie DeCherney;Consumer;104
446;LB-16735;Larry Blacks;Consumer;6
447;KT-16465;Kean Takahito;Consumer;2
448;HM-14860;Harry Marie;Corporate;11
449;AB-10600;Ann Blume;Corporate;94
450;SZ-20035;Sam Zeldin;Home Office;212
451;MG-17890;Michael Granlund;Home Office;184
452;JK-16120;Julie Kriz;Home Office;35
453;PP-18955;Paul Prost;Home Office;215
454;YS-21880;Yana Sorensen;Corporate;141
455;KM-16375;Katherine Murray;Home Office;128
456;AB-10105;Adrian Barton;Consumer;43
457;HA-14905;Helen Abelman;Consumer;21
458;BT-11305;Beth Thompson;Home Office;117
459;SV-20815;Stuart Van;Corporate;13
460;RW-19540;Rick Wilson;Corporate;124
461;DK-12835;Damala Kotsonis;Corporate;163
462;ST-20530;Shui Tom;Consumer;216
463;MM-17920;Michael Moore;Consumer;9
464;PW-19030;Pauline Webber;Corporate;103
465;SC-20440;Shaun Chance;Corporate;35
466;TS-21085;Thais Sissman;Consumer;43
467;MC-17425;Mark Cousins;Corporate;217
468;ME-17320;Maria Etezadi;Home Office;39
469;NH-18610;Nicole Hansen;Corporate;219
470;MB-18085;Mick Brown;Consumer;220
471;KD-16495;Keith Dawkins;Corporate;21
472;KN-16390;Katherine Nockton;Corporate;2
473;NP-18685;Nora Pelletier;Home Office;222
474;CS-12505;Cindy Stewart;Consumer;223
475;MS-17770;Maxwell Schwartz;Consumer;21
476;CM-12655;Corinna Mitchell;Home Office;2
477;Co-12640;Corey-Lock;Consumer;11
478;TS-21370;Todd Sumrall;Corporate;21
479;JW-15220;Jane Waco;Corporate;138
480;JD-15790;John Dryer;Consumer;225
481;PC-19000;Pauline Chand;Home Office;2
482;AR-10540;Andy Reiter;Consumer;21
483;AI-10855;Arianne Irving;Consumer;11
484;TB-21400;Tom Boeckenhauer;Consumer;5
485;PL-18925;Paul Lucas;Home Office;23
486;GH-14425;Gary Hwang;Consumer;94
487;MP-18175;Mike Pelletier;Home Office;230
488;JM-15655;Jim Mitchum;Corporate;231
489;CL-11890;Carl Ludwig;Consumer;232
490;DB-13270;Deborah Brumfield;Home Office;71
491;IG-15085;Ivan Gibson;Consumer;71
492;BO-11425;Bobby Odegard;Consumer;103
493;AB-10150;Aimee Bixby;Consumer;86
494;JW-16075;Julia West;Consumer;11
495;EB-13750;Edward Becker;Corporate;5
496;SG-20470;Sheri Gordon;Consumer;21
497;CM-12190;Charlotte Melton;Consumer;11
498;AW-10840;Anthony Witt;Consumer;236
499;MC-18100;Mick Crebagga;Consumer;237
500;TT-21460;Tonja Turnell;Home Office;35
501;VG-21805;Vivek Grady;Corporate;174
502;MY-18295;Muhammed Yedwab;Corporate;238
503;RD-19480;Rick Duston;Consumer;176
504;DP-13390;Dennis Pardue;Home Office;98
505;ML-17395;Marina Lichtenstein;Corporate;2
506;JC-15385;Jenna Caffey;Consumer;240
507;JG-15160;James Galang;Consumer;2
508;MC-17275;Marc Crier;Consumer;241
509;NW-18400;Natalie Webber;Consumer;242
510;TB-21280;Toby Braunhardt;Consumer;177
511;BS-11380;Bill Stewart;Corporate;243
512;HH-15010;Hilary Holden;Corporate;9
513;CD-12280;Christina DeMoss;Consumer;5
514;TH-21100;Thea Hendricks;Consumer;2
515;MM-18055;Michelle Moray;Consumer;5
516;NS-18505;Neola Schneider;Consumer;62
517;RB-19645;Robert Barroso;Corporate;227
518;SW-20455;Shaun Weien;Consumer;245
519;EB-13930;Eric Barreto;Consumer;9
520;PS-18760;Pamela Stobb;Consumer;2
521;HF-14995;Herbert Flentye;Consumer;246
522;HZ-14950;Henia Zydlo;Consumer;39
523;CD-12790;Cynthia Delaney;Home Office;71
524;JK-15205;Jamie Kunitz;Consumer;9
525;FM-14215;Filia McAdams;Corporate;66
526;ED-13885;Emily Ducich;Home Office;71
527;DA-13450;Dianna Arnett;Home Office;13
528;JW-15955;Joni Wasserman;Consumer;183
529;RM-19375;Raymond Messe;Consumer;13
530;ML-17755;Max Ludwig;Home Office;245
531;CC-12685;Craig Carroll;Consumer;248
532;JE-15610;Jim Epp;Corporate;159
533;RP-19855;Roy Phan;Corporate;250
534;TB-21175;Thomas Boland;Corporate;13
535;BE-11455;Brad Eason;Home Office;251
536;JF-15565;Jill Fjeld;Consumer;62
537;PB-19210;Phillip Breyer;Corporate;252
538;BT-11680;Brian Thompson;Consumer;47
539;JL-15235;Janet Lee;Consumer;23
540;CH-12070;Cathy Hwang;Home Office;254
541;ND-18460;Neil Ducich;Corporate;204
542;BF-10975;Barbara Fisher;Corporate;36
543;KH-16330;Katharine Harms;Corporate;257
544;GW-14605;Giulietta Weimer;Consumer;5
545;NC-18625;Noah Childs;Corporate;35
546;ME-18010;Michelle Ellison;Corporate;9
547;BP-11230;Benjamin Patterson;Consumer;259
548;JC-15775;John Castell;Consumer;53
549;AS-10090;Adam Shillingsburg;Consumer;263
550;AC-10450;Amy Cox;Consumer;32
551;MD-17860;Michael Dominguez;Corporate;246
552;DB-13660;Duane Benoit;Consumer;148
553;EH-13990;Erica Hackney;Consumer;186
554;EH-13765;Edward Hooks;Corporate;233
555;SC-20230;Scot Coram;Corporate;82
556;JE-15715;Joe Elijah;Consumer;267
557;AC-10615;Ann Chong;Corporate;21
558;JD-16015;Joy Daniels;Consumer;23
559;CB-12415;Christy Brittain;Consumer;39
560;JS-16030;Joy Smith;Consumer;13
561;LW-17215;Luke Weiss;Consumer;46
562;SC-20800;Stuart Calhoun;Consumer;13
563;AM-10705;Anne McFarland;Consumer;110
564;RH-19510;Rick Huthwaite;Home Office;206
565;CT-11995;Carol Triggs;Consumer;31
566;MC-17590;Matt Collister;Corporate;276
567;CC-12610;Corey Catlett;Corporate;11
568;KA-16525;Kelly Andreada;Consumer;277
569;TC-20980;Tamara Chand;Corporate;5
570;BF-11080;Bart Folk;Consumer;249
571;MM-17260;Magdelene Morse;Consumer;41
572;AH-10120;Adrian Hane;Home Office;94
573;BW-11200;Ben Wallace;Consumer;200
574;SW-20245;Scot Wooten;Consumer;281
575;BS-11665;Brian Stugart;Consumer;11
576;RF-19345;Randy Ferguson;Corporate;19
577;WB-21850;William Brown;Consumer;11
578;TB-21625;Trudy Brown;Consumer;56
579;AF-10870;Art Ferguson;Consumer;285
580;RB-19435;Richard Bierner;Consumer;286
581;KF-16285;Karen Ferguson;Home Office;287
582;JH-15820;John Huston;Consumer;240
583;IL-15100;Ivan Liston;Consumer;9
584;PB-18805;Patrick Bzostek;Home Office;289
585;RH-19600;Rob Haberlin;Consumer;115
586;AW-10930;Arthur Wiediger;Home Office;35
587;ML-17410;Maris LaWare;Consumer;55
588;DB-13555;Dorothy Badders;Corporate;109
589;MH-17620;Matt Hagelstein;Corporate;9
590;DK-13375;Dennis Kane;Consumer;293
591;BT-11440;Bobby Trafton;Consumer;294
592;DB-13405;Denny Blanton;Consumer;190
593;TG-21310;Toby Gnade;Consumer;2
